OBJECTID,DATASET_E,DATASET_C,ADDRESS_E,ADDRESS_C,SEARCH1_E,SEARCH1_C,SEARCH2_E,SEARCH2_C,NSEARCH1_E,NSEARCH1_C,NSEARCH2_E,NSEARCH2_C,NSEARCH3_E,NSEARCH3_C,NSEARCH4_E,NSEARCH4_C,NSEARCH5_E,NSEARCH5_C,LATITUDE,LONGITUDE,GeometryLongitude,GeometryLatitude
26,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS ESTORIL HEIGHTS BLK E 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園雅仕閣,Sha Tin,沙田,New Territories,新界,1905322,1905322,NT155/82,NT155/82,1982-08-24,1982-08-24,Tower,座,Residential/Composite,住宅/綜合用途,22.38429451,114.1991267,114.19912670013719,22.384294509883773
27,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS FONTANA HEIGHTS BLK F 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園富儷閣,Sha Tin,沙田,New Territories,新界,1905537,1905537,NT154/82,NT154/82,1982-08-24,1982-08-24,Tower,座,Residential/Composite,住宅/綜合用途,22.3845143,114.1992553,114.19925529959244,22.38451429969524
28,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS GRENVILLE HEIGHTS BLK G 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園嘉蘭閣,Sha Tin,沙田,New Territories,新界,1905664,1905664,NT153/82,NT153/82,1982-08-24,1982-08-24,Tower,座,Residential/Composite,住宅/綜合用途,22.38476916,114.1993207,114.19932070009031,22.384769160368535
29,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS HOOVER HEIGHTS BLK H 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園豪華閣,Sha Tin,沙田,New Territories,新界,1906308,1906308,NT152/82,NT152/82,1982-08-24,1982-08-24,Tower,座,Residential/Composite,住宅/綜合用途,22.38502519,114.1993852,114.1993852003668,22.385025190160434
30,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS IMPERIAL HEIGHTS BLK I 52 TAI CHUNG KIU RD,富豪花園 沙田 大涌橋路52號,Sha Tin,沙田,New Territories,新界,1906560,1906560,NT59/87,NT59/87,1987-05-04,1987-05-04,Tower,座,Residential/Composite,住宅/綜合用途,22.38545931,114.1996719,114.1996718997384,22.38545930999919
31,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS JADE HEIGHTS BLK J 52 TAI CHUNG KIU RD,富豪花園 沙田 大涌橋路52號,Sha Tin,沙田,New Territories,新界,1907199,1907199,NT59/87,NT59/87,1987-05-04,1987-05-04,Tower,座,Residential/Composite,住宅/綜合用途,22.38566471,114.1998921,114.19989209964069,22.3856647097586
32,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS KINGSTON HEIGHTS BLK K 52 TAI CHUNG KIU RD,富豪花園 沙田 大涌橋路52號,Sha Tin,沙田,New Territories,新界,1907445,1907445,NT84/85,NT84/85,1985-08-22,1985-08-22,Tower,座,Residential/Composite,住宅/綜合用途,22.38562194,114.2005186,114.20051859975365,22.38562193980073
33,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS LINCOLN HEIGHTS BLK L 52 TAI CHUNG KIU RD,富豪花園 沙田 大涌橋路52號,Sha Tin,沙田,New Territories,新界,1907570,1907570,NT84/85,NT84/85,1985-08-22,1985-08-22,Tower,座,Residential/Composite,住宅/綜合用途,22.38557816,114.2008387,114.20083869994608,22.385578159904185
34,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS MANHATTAN HEIGHTS BLK M 52 TAI CHUNG KIU RD,富豪花園 沙田 大涌橋路52號,Sha Tin,沙田,New Territories,新界,1907685,1907685,NT59/87,NT59/87,1987-05-04,1987-05-04,Tower,座,Residential/Composite,住宅/綜合用途,22.3861707,114.2000448,114.20004480002751,22.386170699817967
35,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS NELLY HEIGHTS BLK N 52 TAI CHUNG KIU RD,富豪花園 沙田 大涌橋路52號,Sha Tin,沙田,New Territories,新界,1908079,1908079,NT59/87,NT59/87,1987-05-04,1987-05-04,Tower,座,Residential/Composite,住宅/綜合用途,22.38622725,114.2003504,114.20035039955133,22.386227250087586
36,Building information and age records,樓宇資料及樓齡紀錄,SHEFFIELD VILLAS BLK 1,瑞豐華庭1座,Yuen Long,元朗,New Territories,新界,2055139,2055139,NT7/2000(OP),NT7/2000(OP),2000-02-23,2000-02-23,Tower,座,Residential/Composite,住宅/綜合用途,22.43607874,113.9957307,113.99573070041151,22.436078740441587
37,Building information and age records,樓宇資料及樓齡紀錄,SHEFFIELD VILLAS BLK 2,瑞豐華庭2座,Yuen Long,元朗,New Territories,新界,2055154,2055154,NT7/2000(OP),NT7/2000(OP),2000-02-23,2000-02-23,Tower,座,Residential/Composite,住宅/綜合用途,22.43637394,113.9956188,113.99561879956798,22.436373940205215
38,Building information and age records,樓宇資料及樓齡紀錄,3 YUEN LONG TAI YUK RD,元朗體育路3號,Yuen Long,元朗,New Territories,新界,2055846,2055846,NT102/67,NT102/67,1967-12-18,1967-12-18,Tower,座,Others,其他,22.44326891,114.0224912,114.02249119970918,22.443268910132133
